 16K	adcstyle.css
816K	ToolbarSample
824K	Embedding_Instruments
824K	NewsReader
824K	qtmovietrack
824K	samplemakeeffectmovie
832K	GridCalendar
832K	qtdataref
840K	AttachAScript
840K	Imageer
840K	vrmakeobject.win
856K	CALayerEssentials
856K	Magic_Oracle
856K	Movie_Overlay
856K	WiredSpritesJava
856K	qtcapture
856K	qtmusic
856K	vrcursors
864K	SCSI_Async_Sample
864K	qttimecode
864K	vrbackbuffer
872K	OpenGL_Movie
872K	qttext
880K	qt3dtween
888K	SCSI_Simple_Sample
888K	WebKitDOMElementPlugIn
896K	EnhancedDataBurn
896K	Make_QTVR_Panorama
896K	qttimecode.win
904K	Tiler
912K	Http_Server
912K	Make_QTVR_Object
920K	MoreAppleEvents
920K	vrmakeobject
920K	vrmakepano.win
928K	qtdataexchange
944K	DropDraw
944K	FSCopyObject
944K	ThreadsImporter
944K	index-topic0.html
944K	vrmovies.win
952K	BetterAuthorizationSample
952K	HITextViewDemo
952K	OTSimpleServerHTTP
960K	BasicInputMethod
960K	MoreNetworkSetup
960K	Reminders
960K	images
968K	3D_Rotation_Controller
968K	CreateMovieFromReferences
968K	PDFAnnotationEditor
968K	Plug-in__-_Sample_Renderer
968K	VelEng_Multiprecision
976K	SOAPClient
976K	SkyCreator
984K	ConvertMovieSndTrack
984K	CustomWindow
984K	NumberInput_IMKit_Sample
984K	PDFKitLinker2
992K	QTCarbonShell
992K	StandardGetFolder
992K	mfc.win
1.0M	CGDrawPicture
1.0M	CPlusTESample
1.0M	ImageMapView
1.0M	MoreSCF
1.0M	NSLMiniBrowser
1.0M	NSOpenGL_Fullscreen
1.0M	OpenGLCompositorLab
1.0M	OpenGL_Image
1.0M	QTCaptureWidget
1.0M	SimpleVideoOut
1.0M	SoundPlayer
1.0M	SourceView
1.0M	Squiggles
1.0M	VelEng_FFT
1.0M	qtdataexchange.win
1.0M	vrbackbuffer.win
1.1M	CarbonQTGraphicImport
1.1M	CoreImageGLTextureFBO
1.1M	Fiendishthngs
1.1M	HID_Utilities_Source
1.1M	HITextShowcase
1.1M	HTMLSample
1.1M	IBFragmentVIew
1.1M	Links.html
1.1M	MYRecorder
1.1M	Magnify
1.1M	Monochrome_Image
1.1M	RoundTransparentWindow
1.1M	SndPlayDoubleBuffer
1.1M	Syncer
1.2M	CocoaCreateMovie
1.2M	DroneZoneOld
1.2M	GLCarbon1ContextPbuffer
1.2M	GLCarbonSharedPbuffer
1.2M	GoodbyeWorld
1.2M	Image_Difference
1.2M	LiveVideoMixer
1.2M	QTAudioExtractionPanel
1.2M	QTSPketizerReassem
1.2M	SignatureToApp
1.2M	SprocketInvadersOld
1.2M	ZAM
1.2M	qteffects.win
1.2M	qtstreaming
1.2M	vrmakepano
1.3M	AESendandReceive
1.3M	AuntieDialog
1.3M	CocoaGL
1.3M	Dimmer2Effect
1.3M	LiveVideoMixer3
1.3M	Load_PCI_Driver
1.3M	QCFundamentals
1.3M	QTKitCreateMovie
1.3M	WhackedTV
1.3M	qteffects
1.4M	CarbonQuartzDrawingWPrinting
1.4M	MoofWarsOld
1.4M	PThreadSorts
1.4M	PictureShow
1.4M	QTAudioContextInsert
1.4M	QTMusicToo
1.4M	QTSSConnectionMonitor
1.4M	TremoloUnit
1.4M	qtshell
1.4M	qtshellCEvents
1.4M	qtshellCEvents.win
1.4M	usher
1.5M	InkSample
1.5M	LayerBackedOpenGLView
1.5M	OTStreamLogViewer
1.5M	Scriptable_Print_SimpleText
1.5M	SoundPlayer.win
1.5M	VideoProcessing
1.5M	qtbigscreen
1.5M	qtcompress
1.6M	ImageClient
1.6M	PostScript_Output_Filters
1.6M	qtwiredactions.win
1.7M	BlitNoVBL
1.7M	CocoaSlides
1.7M	DesktopSprites.win
1.7M	GraphicsImaging
1.7M	GreyscaleEffectSample
1.7M	HIEmbedder
1.7M	MoreOSL
1.7M	QTJava_media_samples
1.7M	VelEng_Wavelet
1.7M	WebKitCIPlugIn
1.7M	qtactiontargets.win
1.8M	7Edit
1.8M	BSDLLCTest
1.8M	MenuItemView
1.8M	MoreFiles
1.8M	MovieAssembler
1.8M	ScriptView
1.8M	SimpleTabControl
1.8M	qtwiredactions
1.9M	BundleLoader
1.9M	SpellingChecker-CarbonCocoa
1.9M	vrscript.win
2.0M	LiveVideoMixer2
2.0M	QTSPketizerReassem.win
2.0M	SpellingChecker-CarbonCocoa-Bundled
2.0M	qtshoweffect
2.0M	qtshoweffect.win
2.0M	qtstreaming.win
2.1M	DockTile
2.1M	LocalServer
2.1M	People
2.1M	dist_fft
2.1M	tcplognke
2.1M	vrscript
2.2M	QTSSInspector
2.3M	Desktop_Sprites
2.3M	ImageApp
2.3M	Play_Movie_with_Controller
2.4M	AbstractTree
2.4M	DTSCPlusLibrary
2.4M	MenuScripter
2.4M	QTCoreVideo103
2.4M	Red_Rocket
2.4M	qtwiredsprites
2.5M	Draw_Pixels
2.5M	FinalCutServerIntegrationSample
2.5M	Movie_From_DataRef
2.5M	Reducer
2.5M	SimpleText_Sample
2.5M	SlideShowImporter.win
2.5M	qtwiredsprites.win
2.6M	Carbon
2.6M	Dicey
2.6M	OTMP
2.6M	PackageTool
2.6M	QTPixelBufferVCToCGImage
2.6M	SlideShowImporter
2.7M	AppleEvent_Send_and_Receive
2.7M	InstallerDists2
2.7M	QTCoreVideo102
2.8M	AEObject-Edition_Sample
2.8M	AGLSurfaceTexture
2.8M	Cocoa
2.8M	GLUTSurfaceTexture
2.9M	CIAnnotation
2.9M	TexturePerformanceDemo
2.9M	TextureRange
3.0M	MyPhoto
3.0M	vrmovies
3.1M	JavaFrameEmbeddingDemo
3.1M	Sketch-112
3.1M	Tumbler_and_Podium
3.1M	TypeServicesForUnicode
3.2M	Custom_HIView_Tutorial
3.2M	QTCoreVideo201
3.2M	QuickTime
3.3M	GeekGameBoard
3.4M	FSMegaInfo
3.4M	OpenGLFilterBasicsCocoa
3.4M	PinBallHighScores
3.4M	TrackIt
3.5M	ImageBackground
3.5M	QTCoreVideo202
3.5M	iSpend
3.6M	CreateMovie
3.6M	FBOBunnies
3.6M	MovieGWorlds
3.6M	PGPuam
3.8M	QISA
3.9M	Quartz2DBasics
3.9M	StickiesExample
4.0M	CoreRecipes
4.0M	Processes
4.2M	glut
4.3M	S3V
4.4M	ViewController
4.5M	AutomatorHandsOn
4.5M	MovieCallbacks
4.6M	QTCoreVideo301
4.9M	LegacyTechnologies
5.0M	QuartzComposer_WWDC_TextEdit
5.1M	WiredSprites
5.4M	MFSLives
5.4M	qtspritesplus.win
5.5M	qtsprites
5.5M	qtspritesplus
5.5M	qtwiredspritesjr.win
5.6M	BordersAndTitles
5.6M	CreateMovieVB6
5.6M	PictMovier
5.7M	CreateMovieCSharp
5.7M	qtactiontargets
5.8M	qtsprites.win
6.0M	CIColorTracking
6.0M	GLSLShowpiece
6.2M	MakeEffectMovie
6.5M	qtwiredspritesjr
6.6M	HTML_video_with_CSS_effects
7.1M	TextEditPlus
7.3M	GLSLShowpieceLite
8.4M	CarbonPorting
8.4M	Quartz_EB
8.5M	MovieSprites
8.6M	QuartzComposer_WWDC_QCTV
9.0M	Graphic_Import-Export
9.3M	OpenALExample
9.7M	ImproveYourImage
9.8M	PhotoSearch
 13M	BasicCocoaAnimations
 13M	ElectricImageComponent
 13M	ElectricImageComponent.win
 14M	MoreIsBetter
 15M	TrackBall
 15M	Win2MacCounterSamples
 17M	CarbonQuartzComposer_TV
 21M	CalendarItems
 34M	SoftVDigX
 35M	JavaEOGenerator
 46M	Zoo_Tutorial
 75M	AppearanceSampleUpdated
